x,y,label
1.28,-0.47,1
1.74,0.02,1
-1.03,0.09,0
1.34,-0.42,1
-0.75,0.78,0
-0.03,0.24,1
1.50,-0.32,1
0.13,0.93,0
1.82,-0.04,1
-0.04,0.54,1
-0.24,0.97,0
-0.00,0.26,1
1.78,-0.20,1
-0.50,0.89,0
0.87,0.51,0
1.92,0.18,1
-0.34,0.91,0
0.50,0.77,0
0.81,0.47,0
0.81,-0.49,1
0.16,0.03,1
-0.15,0.98,0
1.52,-0.37,1
0.44,0.86,0
1.04,-0.50,1
0.07,0.25,1
1.46,-0.40,1
-0.15,0.97,0
0.54,-0.42,1
-0.46,0.84,0
0.33,0.88,0
-0.97,0.42,0
0.36,-0.21,1
0.03,0.29,1
-0.11,1.03,0
1.37,-0.45,1
-0.89,0.33,0
1.52,-0.32,1
1.43,-0.37,1
1.58,-0.38,1
0.14,-0.07,1
0.50,0.87,0
-0.22,0.89,0
-0.32,0.88,0
0.26,-0.19,1
0.71,0.72,0
-0.50,0.77,0
0.14,-0.09,1
0.77,-0.49,1
1.15,-0.50,1
-0.04,0.51,1
-0.02,0.38,1
0.04,0.19,1
-0.93,0.21,0
1.23,-0.50,1
-0.85,0.64,0
1.92,-0.00,1
0.28,-0.14,1
1.84,-0.07,1
0.90,0.35,0
-0.84,0.48,0
0.21,1.05,0
0.28,-0.23,1
-0.38,0.97,0
-0.25,1.00,0
2.00,0.22,1
-1.04,0.21,0
0.61,-0.37,1
1.97,0.42,1
1.02,0.11,0
0.70,0.66,0
-0.00,0.36,1
0.92,-0.45,1
0.44,-0.18,1
1.74,-0.19,1
-0.02,0.31,1
1.91,0.09,1
0.69,-0.40,1
1.29,-0.46,1
0.00,1.05,0
1.00,0.12,0
0.93,0.15,0
-0.45,0.89,0
0.91,0.08,0
1.47,-0.41,1
-0.79,0.66,0
1.99,0.23,1
0.35,0.98,0
0.78,-0.48,1
0.93,0.26,0
-0.82,0.58,0
0.44,0.91,0
1.80,-0.13,1
2.08,0.49,1
0.58,-0.35,1
0.10,0.15,1
1.04,-0.52,1
0.61,-0.33,1
1.00,0.02,0
1.75,-0.19,1
1.89,0.11,1
-0.03,0.35,1
-0.91,0.49,0
0.07,0.57,1
1.82,-0.06,1
-0.60,0.82,0
1.03,0.18,0
-1.00,0.10,0
0.45,0.81,0
2.00,0.36,1
0.54,0.80,0
0.17,0.96,0
0.36,-0.21,1
0.57,0.84,0
1.42,-0.35,1
-0.84,0.63,0
0.37,1.00,0
0.34,0.88,0
0.78,0.60,0
1.23,-0.43,1
-0.00,1.08,0
-0.95,0.13,0
1.94,0.30,1
-0.31,0.88,0
0.35,-0.27,1
0.84,0.51,0
0.45,-0.34,1
0.69,-0.48,1
0.16,-0.08,1
0.08,0.25,1
0.25,0.93,0
-0.38,0.84,0
0.46,-0.33,1
0.59,-0.46,1
1.01,0.20,0
-0.08,1.00,0
0.12,0.89,0
0.97,0.10,0
1.03,0.37,0
1.24,-0.50,1
0.18,-0.07,1
0.33,-0.27,1
-1.05,0.07,0
1.98,0.16,1
1.87,-0.03,1
1.88,-0.07,1
1.20,-0.42,1
0.15,0.05,1
-0.82,0.64,0
-0.30,1.01,0
0.91,0.38,0
1.85,-0.16,1
0.33,0.87,0
-1.04,0.09,0
0.15,0.01,1
0.06,0.97,0
-0.55,0.84,0
-0.33,0.95,0
0.65,-0.47,1
0.26,0.99,0
0.04,1.00,0
0.46,-0.37,1
-0.52,0.83,0
1.10,-0.46,1
1.56,-0.37,1
-0.40,0.90,0
0.80,0.59,0
-0.57,0.79,0
0.97,0.42,0
0.92,0.47,0
0.23,0.91,0
1.64,-0.15,1
1.29,-0.39,1
1.28,-0.40,1
1.07,-0.54,1
0.32,-0.31,1
0.03,0.92,0
0.87,0.48,0
-0.83,0.53,0
0.05,0.40,1
1.96,0.33,1
0.65,0.68,0
0.91,0.32,0
1.73,-0.18,1
1.87,0.16,1
-1.01,0.45,0
0.78,-0.47,1
0.23,1.03,0
0.71,0.76,0
0.10,1.02,0
1.26,-0.42,1
-0.04,0.95,0
1.60,-0.24,1
1.05,-0.53,1
0.87,0.52,0
0.16,0.18,1
1.81,0.04,1
-0.89,-0.03,0
0.55,0.83,0
-0.07,0.47,1
0.09,0.94,0
0.26,-0.14,1
-0.71,0.75,0
-0.98,-0.10,0
0.94,0.56,0
-0.70,0.69,0
2.01,0.27,1
1.01,-0.50,1
0.79,-0.51,1
1.09,-0.44,1
0.88,-0.52,1
0.28,0.85,0
0.93,0.63,0
2.02,0.54,1
-0.83,0.58,0
0.80,-0.45,1
1.95,0.02,1
1.00,-0.58,1
-0.56,0.78,0
0.74,0.75,0
0.31,0.96,0
1.96,0.54,1
1.08,-0.50,1
0.06,1.03,0
0.14,-0.09,1
0.11,0.15,1
-0.59,0.84,0
1.50,-0.21,1
0.49,-0.25,1
1.60,-0.31,1
0.29,-0.25,1
0.04,-0.04,1
-0.45,0.88,0
-0.67,0.76,0
0.56,-0.34,1
0.78,-0.47,1
0.62,0.89,0
0.63,-0.29,1
0.17,-0.04,1
1.04,-0.60,1
1.93,0.14,1
1.77,-0.14,1
0.79,0.52,0
1.69,-0.12,1
1.86,0.01,1
0.72,-0.43,1
0.70,0.80,0
0.66,-0.52,1
-0.72,0.80,0
-0.07,1.00,0
-0.73,0.62,0
-0.03,0.24,1
0.88,-0.45,1
2.04,0.38,1
1.06,-0.50,1
1.51,-0.42,1
0.16,-0.06,1
1.04,-0.53,1
0.64,0.76,0
0.36,0.96,0
-0.87,0.40,0
1.65,-0.28,1
1.42,-0.45,1
1.76,-0.13,1
1.12,-0.48,1
0.53,-0.43,1
1.00,0.08,0
1.96,0.55,1
0.31,0.92,0
0.36,-0.19,1
1.02,0.38,0
0.07,0.38,1
0.16,0.91,0
1.81,0.16,1
1.26,-0.50,1
1.89,0.03,1
-0.20,0.99,0
0.07,0.04,1
-0.93,0.28,0
1.08,0.02,0
1.62,-0.28,1
-0.69,0.72,0
1.90,0.43,1
1.67,-0.24,1
0.95,0.46,0
0.93,0.18,0
0.77,0.63,0
0.11,0.39,1
2.05,0.43,1
1.03,0.26,0
1.99,0.33,1
0.35,-0.31,1
-0.75,0.69,0
1.81,-0.05,1
0.33,0.92,0
0.58,-0.44,1
1.95,0.14,1
0.67,-0.47,1
0.01,0.35,1
1.03,0.21,0
0.95,0.46,0
1.64,-0.23,1
-0.71,0.76,0
-0.76,0.65,0
0.50,0.87,0
-0.93,0.31,0
2.05,0.45,1
1.83,0.14,1
1.91,0.12,1
-0.97,0.00,0
0.00,1.01,0
2.05,0.19,1
-0.13,1.09,0
-0.93,0.12,0
1.16,-0.51,1
0.98,0.29,0
-0.15,0.93,0
-0.41,0.88,0
0.91,0.39,0
0.98,0.01,0
0.95,0.28,0
0.11,1.03,0
-0.32,0.86,0
0.52,0.88,0
-0.69,0.78,0
0.10,0.41,1
-0.30,0.97,0
0.82,0.47,0
1.58,-0.23,1
1.28,-0.44,1
-0.94,0.44,0
-0.04,0.25,1
1.14,-0.34,1
0.92,0.15,0
0.28,-0.17,1
0.03,0.28,1
0.17,1.02,0
1.11,-0.51,1
-0.00,0.27,1
1.54,-0.28,1
-0.00,0.33,1
-0.02,0.90,0
1.82,-0.11,1
1.71,-0.04,1
-0.00,0.40,1
-0.97,0.18,0
-0.45,0.87,0
1.01,0.06,0
1.18,-0.49,1
-0.79,0.62,0
1.53,-0.33,1
-0.03,0.93,0
1.94,0.11,1
0.07,1.01,0
1.70,-0.39,1
1.89,0.01,1
1.86,-0.07,1
1.81,-0.18,1
0.95,0.23,0
0.25,-0.04,1
-0.03,0.32,1
0.11,0.08,1
0.77,0.67,0
1.54,-0.39,1
0.75,-0.37,1
0.46,0.88,0
-0.90,0.33,0
2.04,0.28,1
0.27,1.00,0
-0.94,0.17,0
1.41,-0.38,1
-0.70,0.73,0
0.08,0.96,0
0.01,0.12,1
-0.43,0.95,0
2.01,0.26,1
1.80,0.07,1
1.57,-0.43,1
0.61,-0.42,1
0.76,0.69,0
1.77,-0.09,1
0.40,0.85,0
0.98,0.30,0
0.49,-0.31,1
0.32,0.95,0
0.49,0.90,0
-0.06,1.05,0
1.72,-0.23,1
0.73,-0.40,1
0.03,0.30,1
-0.94,0.43,0
-0.95,0.27,0
-0.09,1.00,0
0.58,0.86,0
1.62,-0.32,1
0.67,-0.42,1
0.75,0.59,0
0.07,0.05,1
1.01,-0.47,1
-1.00,0.13,0
0.43,0.83,0
2.01,0.42,1
1.29,-0.34,1
1.87,-0.10,1
0.13,0.05,1
0.07,0.02,1
-0.88,0.62,0
2.07,0.41,1
1.22,-0.49,1
-0.56,0.90,0
-0.44,0.95,0
1.78,-0.13,1
1.98,0.40,1
1.99,0.29,1
0.31,-0.04,1
0.04,0.41,1
0.78,0.66,0
0.65,-0.48,1
1.79,-0.18,1
0.47,-0.17,1
1.43,-0.38,1
1.26,-0.48,1
0.74,-0.47,1
0.66,0.70,0
-0.66,0.72,0
0.38,0.87,0
0.05,0.12,1
1.31,-0.47,1
0.88,0.58,0
0.53,-0.36,1
-1.05,0.09,0
1.01,0.15,0
1.99,0.14,1
-0.29,0.95,0
-0.22,0.83,0
0.91,0.60,0
-0.81,0.77,0
0.74,-0.43,1
1.14,0.13,0
0.76,0.68,0
0.01,0.39,1
0.12,-0.17,1
0.70,-0.41,1
0.80,0.69,0
0.05,0.94,0
0.97,-0.51,1
0.03,0.97,0
0.81,-0.44,1
-0.20,0.98,0
-0.84,0.62,0
1.07,-0.42,1
-0.99,0.06,0
0.93,0.01,0
0.05,0.95,0
0.97,0.42,0
1.04,0.10,0
-0.70,0.66,0
0.89,0.55,0
0.67,0.66,0
0.09,1.05,0
-0.72,0.68,0
0.79,-0.42,1
1.78,0.02,1
0.31,-0.29,1
1.58,-0.25,1
0.47,-0.30,1
1.04,0.13,0
-0.89,0.43,0
0.52,0.87,0
-0.20,0.95,0
1.83,-0.01,1
-0.55,0.82,0
-0.45,0.81,0
0.98,0.37,0
0.22,-0.19,1
0.26,0.88,0
1.96,0.23,1
1.48,-0.38,1
-0.25,0.97,0
0.64,0.78,0
-0.80,0.57,0
0.99,0.28,0
-0.46,0.87,0
0.91,0.52,0
0.55,-0.37,1
0.39,-0.20,1
1.97,0.37,1
0.93,-0.42,1
-0.61,0.74,0
0.03,0.93,0
0.38,-0.29,1
-1.00,0.00,0
0.71,0.74,0
0.92,0.54,0
0.46,-0.30,1
0.60,-0.44,1
-0.10,0.91,0
-0.88,0.52,0
0.23,0.97,0
1.61,-0.36,1
0.17,0.13,1
1.33,-0.42,1
0.34,0.98,0
-0.38,0.78,0
-1.01,0.49,0
0.17,-0.13,1
0.22,0.04,1
0.06,0.10,1
-0.91,0.08,0
-1.01,0.39,0
0.50,-0.38,1
0.34,1.01,0
-0.91,0.43,0
0.95,-0.47,1
-0.98,0.09,0
1.80,-0.17,1
1.89,0.17,1
-0.11,0.97,0
-0.95,0.26,0
-0.80,0.68,0
0.48,0.98,0
-0.92,0.22,0
-1.00,0.28,0
1.78,-0.18,1
1.71,-0.15,1
-0.24,1.00,0
-0.81,0.66,0
0.24,-0.19,1
-0.66,0.76,0
2.06,0.43,1
1.57,-0.36,1
0.43,0.94,0
1.93,0.03,1
0.78,0.58,0
1.07,-0.46,1
0.66,0.73,0
0.19,0.99,0
-0.87,0.37,0
-0.97,0.33,0
1.31,-0.48,1
1.08,-0.55,1
-0.52,0.95,0
-0.04,0.96,0
-0.92,0.40,0
-0.83,0.54,0
-0.50,0.83,0
-0.60,0.66,0
-0.25,0.96,0
-0.91,0.41,0
1.43,-0.40,1
0.37,-0.21,1
0.30,-0.18,1
0.97,0.08,0
0.94,0.27,0
1.86,-0.04,1
1.83,0.01,1
2.08,0.35,1
0.66,0.76,0
1.88,0.09,1
0.10,0.33,1
0.38,-0.20,1
0.08,0.05,1
0.31,0.87,0
0.96,0.09,0
-0.27,0.94,0
-1.05,0.12,0
0.47,0.83,0
1.31,-0.43,1
-0.21,0.96,0
1.96,-0.04,1
0.36,0.95,0
0.65,-0.45,1
0.07,0.09,1
0.37,0.89,0
0.94,-0.59,1
1.32,-0.47,1
0.55,-0.28,1
-0.86,0.48,0
0.03,0.25,1
-0.62,0.84,0
1.88,0.17,1
0.78,-0.52,1
0.56,0.80,0
1.43,-0.44,1
-0.89,0.54,0
1.22,-0.50,1
2.02,0.45,1
0.11,0.41,1
0.64,-0.48,1
-0.95,0.44,0
-0.90,0.04,0
0.51,0.81,0
0.15,-0.06,1
0.58,0.80,0
0.51,0.89,0
0.23,-0.12,1
1.85,0.23,1
-0.03,0.34,1
0.02,0.15,1
-0.67,0.78,0
-0.81,0.72,0
2.01,0.21,1
1.62,-0.21,1
0.12,0.03,1
0.55,0.77,0
0.49,-0.46,1
-1.09,0.07,0
-1.01,0.20,0
0.19,1.06,0
0.43,0.82,0
-0.20,0.93,0
0.97,0.47,0
-0.98,0.14,0
0.47,-0.43,1
1.39,-0.30,1
0.46,-0.29,1
-0.82,0.55,0
1.12,-0.46,1
0.96,0.03,0
0.46,-0.36,1
0.04,0.99,0
0.26,1.01,0
0.82,0.60,0
0.02,1.00,0
1.22,-0.51,1
0.81,0.67,0
0.70,-0.50,1
1.09,-0.46,1
1.11,-0.43,1
0.84,0.65,0
0.23,0.94,0
0.81,0.62,0
0.00,0.33,1
-0.32,0.89,0
1.94,0.33,1
1.06,0.15,0
-0.90,0.50,0
0.89,-0.49,1
-0.84,0.64,0
-0.75,0.64,0
1.05,0.05,0
1.49,-0.33,1
0.57,0.84,0
-0.45,0.78,0
0.43,-0.31,1
1.93,0.21,1
0.99,0.25,0
0.32,-0.30,1
-0.87,0.48,0
-0.44,0.97,0
0.14,0.25,1
-0.93,0.20,0
-0.95,0.29,0
-0.59,0.84,0
-0.28,0.92,0
0.21,-0.10,1
0.24,-0.12,1
0.18,0.99,0
-0.71,0.65,0
0.72,0.66,0
-0.02,0.15,1
0.37,1.02,0
-0.87,0.40,0
1.00,-0.07,0
1.80,-0.02,1
1.47,-0.33,1
-0.68,0.49,0
0.04,0.03,1
0.88,-0.51,1
1.00,0.07,0
0.76,-0.51,1
0.05,0.27,1
0.56,-0.43,1
1.05,0.21,0
0.90,0.18,0
0.18,-0.03,1
0.19,0.03,1
-1.04,0.01,0
-0.50,0.78,0
-0.97,0.16,0
1.32,-0.59,1
1.72,-0.12,1
0.85,0.45,0
-1.04,-0.02,0
-0.72,0.66,0
0.88,-0.35,1
1.00,0.03,0
1.71,-0.20,1
-0.41,0.87,0
-0.93,0.57,0
1.65,-0.23,1
0.49,0.89,0
1.45,-0.40,1
1.53,-0.30,1
1.39,-0.45,1
1.98,0.18,1
1.96,0.35,1
0.04,0.09,1
1.15,-0.52,1
-0.99,0.33,0
1.87,0.40,1
0.81,0.58,0
-0.09,0.91,0
0.05,0.21,1
-0.34,0.88,0
-0.69,0.86,0
-0.50,0.78,0
0.63,0.83,0
0.91,0.42,0
1.77,-0.09,1
-0.11,0.86,0
0.33,-0.06,1
0.57,-0.43,1
-0.92,0.25,0
0.74,0.62,0
2.01,0.17,1
1.44,-0.41,1
0.88,0.50,0
1.65,-0.13,1
0.98,0.30,0
0.66,-0.45,1
-0.54,0.82,0
1.54,-0.30,1
0.67,0.75,0
1.96,0.47,1
0.65,0.66,0
-0.64,0.80,0
-0.57,0.78,0
-0.88,0.32,0
