"id","SepL","SepW","PetL","PetW","Species"
"106","3","7.6","2.1","6.6","virginica"
"107","2.5","4.9","1.7","4.5","virginica"
"108","2.9","7.3","1.8","6.3","virginica"
"109","2.5","6.7","1.8","5.8","virginica"
"110","3.6","7.2","2.5","6.1","virginica"
"111","3.2","6.5","2","5.1","virginica"
"112","2.7","6.4","1.9","5.3","virginica"
"113","3","6.8","2.1","5.5","virginica"
"114","2.5","5.7","2","5","virginica"
"115","2.8","5.8","2.4","5.1","virginica"
"116","3.2","6.4","2.3","5.3","virginica"
"117","3","6.5","1.8","5.5","virginica"
"118","3.8","7.7","2.2","6.7","virginica"
"119","2.6","7.7","2.3","6.9","virginica"
"120","2.2","6","1.5","5","virginica"
"121","3.2","6.9","2.3","5.7","virginica"
"122","2.8","5.6","2","4.9","virginica"
"123","2.8","7.7","2","6.7","virginica"
"124","2.7","6.3","1.8","4.9","virginica"
"125","3.3","6.7","2.1","5.7","virginica"
"126","3.2","7.2","1.8","6","virginica"
"127","2.8","6.2","1.8","4.8","virginica"
"128","3","6.1","1.8","4.9","virginica"
"129","2.8","6.4","2.1","5.6","virginica"
"130","3","7.2","1.6","5.8","virginica"
"131","2.8","7.4","1.9","6.1","virginica"
"132","3.8","7.9","2","6.4","virginica"
"133","2.8","6.4","2.2","5.6","virginica"
"134","2.8","6.3","1.5","5.1","virginica"
"135","2.6","6.1","1.4","5.6","virginica"
"136","3","7.7","2.3","6.1","virginica"
"137","3.4","6.3","2.4","5.6","virginica"
"138","3.1","6.4","1.8","5.5","virginica"
"139","3","6","1.8","4.8","virginica"
"140","3.1","6.9","2.1","5.4","virginica"
"141","3.1","6.7","2.4","5.6","virginica"
"142","3.1","6.9","2.3","5.1","virginica"
"143","2.7","5.8","1.9","5.1","virginica"
"144","3.2","6.8","2.3","5.9","virginica"
"145","3.3","6.7","2.5","5.7","virginica"
"146","3","6.7","2.3","5.2","virginica"
"147","2.5","6.3","1.9","5","virginica"
"148","3","6.5","2","5.2","virginica"
"149","3.4","6.2","2.3","5.4","virginica"
"150","3","5.9","1.8","5.1","virginica"
